quarter,metric,value
2024 Q4,revenue,7658
2024 Q4,gross_profit,3882
2024 Q4,gross_margin,0.51
2024 Q4,operating_expenses,3022
2024 Q4,operating_expense_revenue_ratio,0.39
2024 Q4,operating_income,871
2024 Q4,operating_margin,0.11
2024 Q4,net_income,482
2024 Q4,earnings_per_share,0.29
2024 Q3,revenue,6819
2024 Q3,gross_profit,3419
2024 Q3,gross_margin,0.50
2024 Q3,operating_expenses,2709
2024 Q3,operating_expense_revenue_ratio,0.40
2024 Q3,operating_income,724
2024 Q3,operating_margin,0.11
2024 Q3,net_income,771
2024 Q3,earnings_per_share,0.47
2024 Q2,revenue,5835
2024 Q2,gross_profit,2864
2024 Q2,gross_margin,0.49
2024 Q2,operating_expenses,2605
2024 Q2,operating_expense_revenue_ratio,0.45
2024 Q2,operating_income,269
2024 Q2,operating_margin,0.05
2024 Q2,net_income,265
2024 Q2,earnings_per_share,0.16
2024 Q1,revenue,5473
2024 Q1,gross_profit,2560
2024 Q1,gross_margin,0.47
2024 Q1,operating_expenses,2537
2024 Q1,operating_expense_revenue_ratio,0.46
2024 Q1,operating_income,36
2024 Q1,operating_margin,0.01
2024 Q1,net_income,123
2024 Q1,earnings_per_share,0.07
2023 Q4,revenue,6168
2023 Q4,gross_profit,2911
2023 Q4,gross_margin,0.47
2023 Q4,operating_expenses,2575
2023 Q4,operating_expense_revenue_ratio,0.42
2023 Q4,operating_income,342
2023 Q4,operating_margin,0.06
2023 Q4,net_income,667
2023 Q4,earnings_per_share,0.41
2023 Q3,revenue,5800
2023 Q3,gross_profit,2747
2023 Q3,gross_margin,0.47
2023 Q3,operating_expenses,2533
2023 Q3,operating_expense_revenue_ratio,0.44
2023 Q3,operating_income,224
2023 Q3,operating_margin,0.04
2023 Q3,net_income,771
2023 Q3,earnings_per_share,0.47
2023 Q2,revenue,5359
2023 Q2,gross_profit,2443
2023 Q2,gross_margin,0.46
2023 Q2,operating_expenses,2471
2023 Q2,operating_expense_revenue_ratio,0.46
2023 Q2,operating_income,20
2023 Q2,operating_margin,0.00
2023 Q2,net_income,27
2023 Q2,earnings_per_share,0.02
2023 Q1,revenue,5353
2023 Q1,gross_profit,2359
2023 Q1,gross_margin,0.44
2023 Q1,operating_expenses,2514
2023 Q1,operating_expense_revenue_ratio,0.47
2023 Q1,operating_income,145
2023 Q1,operating_margin,0.03
2023 Q1,net_income,139
2023 Q1,earnings_per_share,0.09 
